PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Monta Ellis,IND,30,6-3,185,None,USA,2005,2,40,81,"1,121.00",271,383,1.8,1.50%,8.00%,20.80%,50.40%,22.20%
Mo Williams,CLE,33,6-1,198,Alabama,USA,2003,2,47,41,338,72,98,-3.5,0.80%,8.70%,22.20%,52.70%,23.10%
Mitch McGary,OKC,24,6-10,255,Michigan,USA,2014,1,21,20,26,18,3,-34.4,5.50%,20.00%,19.20%,47.40%,7.10%
Mirza Teletovic,PHX,30,6-9,242,None,Bosnia and He...,Undrafted,Undrafted,Undrafted,79,965,302,89,-4.6,3.00%,14.60%,22.90%,57.10%,8.80%
Miles Plumlee,MIL,27,6-11,249,Duke,USA,2012,1,26,61,314,232,16,-5.6,10.90%,15.30%,15.10%,60.60%,3.00%
Mike Scott,ATL,27,6-8,237,Virginia,USA,2012,2,43,75,464,206,78,5.2,4.60%,12.60%,17.10%,57.50%,10.60%
Mike Muscala,ATL,24,6-11,240,Bucknell,USA,2013,2,44,60,195.00,117,34,-3,6.80%,13.80%,15.20%,57.60%,9.90%
Mike Miller,DEN,36,6-8,218,Florida,USA,2000,1,5,47,63,53,40,-13.9,1.40%,12.70%,8.90%,50.80%,15.90%
Mike Dunleavy,CHI,35,6-9,230,Duke,USA,2002,1,3,31,222,83,39,-5.2,1.10%,10.50%,14.10%,54.30%,7.60%
Mike Conley,MEM,28,6-1,175,Ohio State,USA,2007,1,4,56,857,164,342,1.2,1.50%,8.20%,22.50%,53.80%,32.40%
Michael Kidd-Gilchrist,CHA,22,6-7,232,Kentucky,USA,2012,1,2,7,89,45,9,13.9,5.80%,14.60%,17.30%,60.30%,6.90%
Michael Carter-Williams,MIL,24,6-6,190,Syracuse,USA,2013,1,11,54,623,276,281,-3.6,3.00%,13.80%,20.60%,49.70%,26.40%
Michael Beasley,HOU,27,6-10,235,Kansas State,USA,2008,1,2,20,255,98,16,-8.3,7.30%,17.30%,28.40%,56.30%,8.60%
Meyers Leonard,POR,24,7-1,245,Illinois,USA,2012,1,11,61,511,314,92,3.2,3.70%,19.20%,17.40%,56.10%,10.30%
Metta World Peace,LAL,36,6-7,260,St. John's,USA,1999,1,16,35,176,89,27,-4.9,2.90%,11.20%,16.20%,43.50%,7.80%
Maurice Harkless,POR,23,6-9,215,St. John's,USA,2012,1,15,78,498,280,67,1.3,6.80%,11.70%,15.30%,54.10%,6.80%
Matthew Dellavedova,CLE,25,6-4,198,St.Mary's College of California,Australia,Undrafted,Undrafted,Undrafted,76,569.00,162,337,10.3,1.80%,6.80%,15.50%,52.70%,26.50%
Matt Bonner,SAS,36,6-10,235,Florida,USA,2003,2,45,30,76,27,9,14,1.80%,11.90%,14.00%,64.70%,6.10%
Matt Barnes,MEM,36,6-7,226,UCLA,USA,2002,2,45,76,758.00,420,163,-4.5,3.60%,16.00%,17.50%,50.30%,11.70%
Mason Plumlee,POR,26,6-11,235,Duke,USA,2013,1,22,82,749.00,628,226,1.6,9.60%,20.30%,17.10%,56.40%,16.10%
Marvin Williams,CHA,30,6-9,237,North Carolina,USA,2005,1,2,81,948,521,110,5,5.30%,16.50%,16.60%,58.50%,7.40%
Marreese Speights,GSW,28,6-10,255,Florida,USA,2008,1,16,72,512.00,239,61,1.1,9.20%,18.20%,29.30%,50.60%,12.60%
Markieff Morris,WAS,26,6-10,245,Kansas,USA,2011,1,13,64,765,352,124,-2.3,4.30%,17.70%,24.00%,48.90%,12.50%
Markel Brown,BKN,24,6-3,190,Oklahoma State,USA,2014,2,44,62,363,122,91,-11,2.30%,10.60%,18.30%,50.00%,14.20%
Mario Hezonja,ORL,21,6-8,218,None,Croatia,2015,1,5,79,478,176,109,-0.1,1.90%,10.80%,16.60%,54.10%,11.30%
Mario Chalmers,MIA,30,6-2,190,Kansas,USA,2008,2,34,61,628.00,157,230,2.3,1.80%,9.70%,21.40%,56.10%,27.00%
Marcus Thornton,WAS,29,6-4,205,Louisiana State,USA,2009,2,43,61,590,150,84,0.8,3.20%,9.90%,23.50%,51.10%,12.50%
Marcus Smart,BOS,22,6-4,220,Oklahoma State,USA,2014,1,6,61,558,255,185,2.5,4.10%,10.20%,16.80%,46.30%,16.20%
Marcus Morris,DET,26,6-9,235,Kansas,USA,2011,1,14,80,"1,131.00",404,201,2.4,3.00%,11.40%,18.20%,53.10%,10.70%
Marco Belinelli,SAC,30,6-5,210,None,Italy,2007,1,18,68,696,117,127,-5.7,0.60%,6.40%,19.30%,50.00%,11.70%
Marcin Gortat,WAS,32,6-11,240,None,Poland,2005,2,57,75,"1,012.00",741,106,1.3,9.60%,22.60%,18.60%,59.20%,7.20%
Marcelo Huertas,LAL,33,6-3,200,None,Brazil,Undrafted,Undrafted,Undrafted,53,237,90,182,1.7,2.00%,8.20%,16.10%,48.80%,32.70%
Marc Gasol,MEM,31,7-1,255,None,Spain,2007,2,48,52,861.00,362,196,0.1,3.30%,17.90%,23.70%,52.80%,19.50%
Manu Ginobili,SAS,38,6-6,205,None,Argentina,1999,2,57,58,555,146,177,14.6,2.50%,10.10%,22.70%,57.30%,23.40%
Luol Deng,MIA,31,6-9,220,Duke,United Kingdo...,2004,1,7,74,911,443,140,0.5,4.70%,13.90%,16.80%,54.90%,8.70%
